,Address,Phone,Website,Hours of Service
Anchor Bay Full Gospel Church,"131 W Main St Oxford, IA 52322",(319) 337-8270,,
Anchor Church,"704 N. Baehr Wichita, KS 67212",(316) 945-7411,,
Anchorage Community Mental Health Services Child and Family Services,"4045 Lake Otis Parkway Anchorage, AK 99508",(907) 561-0954,https://www.acmhs.com/contact-us,M-F 8am-4pm
"Anchorage Community Mental Health Services, Inc","4020 Folker Street Anchorage, AK 99508",(907) 563-1000,,"Mental Health Service Provider
Monday -Friday
8am-4pm
"
"Anchorage Neighborhood Housing Services, Inc.","2515 A Street Anchorage, AK 99503",(907) 677-8490,http://www.nwanchorage.org/,"affordable housing organization, not a food pantry"
Anderson Ferry Food Pantry,"380 Greenwell Road Cincinnati, OH 45238",(513) 451-3555,, Monday and Thursday10 AM to 2 PM  
Anderson First Friends Food Pantry,"2233 South Central Way Anderson, IN 46011",(765) 643-2724,,
Anderson Interfaith Ministries,"1202 South Murray Avenue Anderson, SC 29622",(864) 226-2273,http://www.aimcharity.org/,
"Andre House of Arizona, Inc.",213 S 11th Avenue AZ 85001,(602) 255-0580,www.andrehouse.org/,
Andrew Gibson Food Pantry,"546 Clarissa Street Rochester, NY 14608",(585) 319-1359,,
Andrews Emergency Food Pantry,"248 Kraft Holler Drive Andrews, NC 28901",(828) 321-5496,,
AnewAmerica Community Corporation,"2974 Adeline Street Berkeley, CA 94703",(510) 540-7785 x303,www.anewamerica.org/index.html,
Angel Garden,"503 US Rte 1 Columbia, ME 4623",(207) 483-6122,,
"Angel Network Charities, Inc.","5339 Kalanianaole Hwy Honolulu, HI 96821",(808) 377-1841,, Foodbank hours: Thursday & Friday 9:00 a.m. to 3:00 p.m.  
Angela Court Apartments  ,"4400 Fairmount Avenue Philadelphia, PA 19104",(215) 222-7000 x223,,Third Monday- 12pm-3pm
Angelcare,"625 Broadway Suite 915 San Diego, CA 92138",(888) 264-5227,,
Angelic Organics Learning Center,"1547 Rockton Road Caledonia, IL 61011",(815) 389-2746,www.csalearningcenter.org,
Angier Area Food Pantry,"39 North Broad Street West Angier, NC 27501",(919) 639-6278,, Tues & Thurs 9-1  
Angoon Shu Senior Center (Catholic Community Service),"Tlingit & Haida Community Building 800 Xootz Road Angoon, AK 99820",(907) 788-3804,"http://www.ccsjuneau.org/96,angoon","Monday-Friday 8:30 AM-2:30 PM; 
Lunch is served at 11:30 AM"
Angus Nazarene Food Pantry,"223 Ruth Road Nogal, NM 88341",(575) 354-8406,,
Ann Arbor Center for Independent Living,"3941 Research Park Drive Ann Arbor, MI 48108",(734) 971-0277,www.aacil.org,
Bethel Highway Church,"4421 Aspen Street, Philadelphia, PA 19104",(267) 240-1110,,"Tuesday	11:00 AM	1:00 PM  Saturday	1:00 PM	3:00 PM"
Bethel Holy Church,"922 St. Nicholas Avenue New York, NY 10032",(212) 283-9407,,"Tuesday 1:15pm to 2:00pm, Every other Wednesday 12:30pm"
Bethel Lutheran Church,"20650 Cumberland Road Noblesville, IN 46062",(317) 773-4315,, Wednesday noon to 1230pmSaturday 9am to 1130pm  
Bethel Lutheran Church Food Pantry,"3839 W. Frontage Rd. Palatine, IL 60067",(847) 397-4372,,
bethel metropolitan missionary church,"3455 26th avenue south st.petersburg, FL 33712",(727) 327-0554,,
"Bethel Mission Church, Inc.","106-15 154th Street Jamaica, NY 11433",(718) 658-2484,,M-F 12:00pm to 1:00pm Sunday: 3-5p
"Bethel New Life, Inc.","4950 W. Thomas St. Chicago, IL 60651",(773) 473-7870,www.bethelnewlife.org,
Bethel Presbyterian Church ,"1900 West York Street Philadelphia, PA 19132",(267) 847-0385,,TH 12:00 PM-2:00 PM;  
Bethel SDA Church,"457 Grand Ave. Brooklyn, NY 11238",(718) 783-3630,,"Soup Kitchen: Sunday 1pm-2pm
Food Pantry: Wednesday 3pm-5pm"
Bethel SDA Worship Center,"169 W. Wyoming Avenue Philadelphia, PA 19140",(215) 767-1799 x267,,"T 9:00 AM-4:00 PM, Sa 9:00 AM-5:00 PM"
Bethel Seventh Day Adventist Church,"238 South French Broad Avenue Asheville, NC 28801",(828) 253-8748,,
Bethel Sunshine Camp,"344 Tompkins Ave. Brooklyn, NY 11216",(718) 789-0034,,Tuesday and Friday 7pm - 8:30pm
Bethel Tabernacle Church of God,"RR1 Box 90-B Frankford, DE 19945",() -,," mon-sun, on call  "
Bethel Temple Community Bible Church,"228 E. Allegheny Avenue Philadelphia, PA 19134",(267) 275-6430 x267,,3rd Th 6:00 PM-8:00 PM
Bethesda Center for the Homeless,"930 N Patterson Avenue Winston-Salem, NC 27101",(336) 722-9951,,
Bethesda House Men's Shelter,"4848 Cordell Avenue Bethesda, MD 20814",(301) 907-9597,https://www.catholiccharitiesdc.org/bethesda,
"Bethesda House of Schenectady, Inc.","418 Liberty St. Schenectady, NY 12305",(518) 374-7873,http://www.timesunion.com/communities/bethesdaHouse, Mon-Fri8-5  
Bethesda Missionary Baptist Church,"179-09 Jamaica Avenue Jamaica,, NY 11143",(718) 297-5908,,"M, Th-12:00pm-1:30pm Wed 10:00am-11:00pm"
Bethesda Temple Food Pantry,"3701 Salem Avenue Dayton, OH 45406",(937) 275-2665,, -Tuesdays and Thursdays 12-2  
Bethlehem Baptist Church,"4 Harrison Bridge Rd Simpsonville, SC 29681",(864) 386-6559,,
Bethlehem Baptist Church,"7836 Fordson Road Alexandria, VA 22306",(703) 360-4170,,
Bethlehem Baptist Church,"712 Penllyn Pike Springhouse, PA 19477",(215) 643-4977,,W 10:00 AM-12:30 PM;  F 12:30 PM-1:30 PM;  SU 10:45 AM-11:15 AM;
Bethlehem Food Pantry,"445 Delaware Avenue Delmar, NY 12054",(518) 439-4955,,
Bethlehem French SDA Church,"163-15 130th Avenue # # E Jamaica, NY 11434 Queens, NY 11434",(718) 986-7390,,
Bethlehem Haven,"Fifth Avenue Commons Pittsburgh, PA 15219",(412) 391-1348,www.bethlehemhaven.org,
Bethlehem of Deliverance,"2016 West Berks Street Philadelphia, PA 19121",(215) 765-2209,,"Pantry: M-F 10:00 AM-5:00 PM; Soup Kitchen: M, T, W & F 12:00 PM- 2:00 PM"
Bettances Health Unit,"280 Henry Street New York, NY 10002",(212) 227-9001,,Monday to Friday 9:00am to 5:00pm
Better Life Christian Center,"4815 Stenton Avenue Philadelphia, PA 19144",(215) 844-1405 x267,,W 11:00 AM-2:00 PM
Better Tomorrow's - CSFP/senior box program,"5600 Race Street Philadelphia, PA 19139",(215) 471-0103,, First Thursday:12-3pm)
Better Tomorrowers/ Dauphin Arms Apt.,"2230 N.13th Street Philadelphia, PA 19133",(267) 755-8213 x215,,M & T 10:00 AM-12:00 PM
Better Tomorrows/ 8 Diamond Townhouse,"1924 N. Woodstock Street Philadelphia, PA 19121",(215) 236-7549,,M & T 1:00 PM-3:00 PM
Better Way Ministries,"7521 Ray rd. Raleigh, NC 27613",() -,,
Beulah Church of the Nazarene,"650-656 Washington Avenue Brooklyn, NY 11238",(718) 857-5698,,
Beulah HDFC (formerly South Bronx Churches Morrisania Heights Cluster),"94 Brandt Place Bronx, NY 10453",(718) 901-3143,,
Beulah Temple Seventh Day Adventist Church,"102---01 Seaview Avenue Brooklyn, NY 11236",(718) 763-7437,http://beulahtemplesda.org/,
Beverly Bootstraps Community Services,"371 Cabot Street Beverly, MA 1915",(978) 927-1561,www.beverlybootstraps.org,
Beverly Presbyterian Church,"121 East Warren Street Edgewater Park, NJ 8010",(609) 387-1117,http://www.beverlypresbyterian.com/,
Beyonce's Food Pantry,"111 Rainbow Rd Houston, TX 11233",(860) 878-1111,,
Beyond Shelter,"1200 Wilshire Blvd Los Angeles, CA 90017",(213) 252-0772,www.beyondshelter.org,
Beyond Shelter Coalition,"C/o Congregation Rodeph Sholom New York, NY 10024",() -,,
Bezerra de Menezes Food Pantry,"6450 NW 77th CT Miami, FL 33166",(305) 477-4148,http://www.spiritist.com/fp,Fridays 6:30 PM
BFFY - St. Vincent de Paul at St. Rose of Lima,"130 Beach 84th Street Queens (Rockaway Beach), NY 11693",(718) 634-7394,http://stroseoflima-queens.org/,"Food Pantry: Tuesday, Friday, 10am - 11:45am"
Bible Baptist Church,"130 Brace Avenue Tiffin, OH 44883",(419) 448-7247,,
Bible Believers Fellowship Church,"323 McCotter Boulevard Havelock, NC 28532",(252) 447-7331,, M-Thurs 9-2  
Bible Ministries Fellowship - Food Pantry,"425 East Chelten Avenue Philadelphia, PA 19144",(215) 482-4011,,T 11:00 AM-1:30 PM;  
Bible Union Fellowship Church,"6049 Pine Street Philadelphia, PA 19143",(267) 897-8148 x267,,W & Th 12:00 PM-1:00 PM
Bible Way Baptist Church,"1323-1325 North 52nd Street Philadelphia, PA 19131",(215) 477-0778 x215,,T 12:30 PM-1:30 PM;  
Bible Way Church of God in Christ,"529 Larkspur Rd. Kinston, NC 28501",(910) 675-9336,,
Bickley New Beginning Uinted Methodist Church,"6239 N. 6th Street Philadelphia, PA 19138",(215) 292-4398 x215,,"Su 1:00 PM-3:00 PM, W 4:00 PM-6:00 PM"
Biddeford-Saco Food Pantry,"12 Beach St Saco, ME 4072",(207) 284-6248,,
Bienestar,"220 SE 12th Avenue Hillsboro, OR 97123",(503) 693-2937,,
Big Brothers and Big Sisters of Western North Carolina,"50 South French Broad Avenue Asheville, NC 28801",(828) 253-1470,http://www.bbbswnc.org/,
Big Creek People in Action,"HC 32, Box 541 War, WV 24892",(304) 875-3418,www.angelfire.com/bc3/bigcreek/index.html,
Big Five Community Service,"1502 N. First Durant, OK 74702",(580) 924-5331,,
Big Lake Church of God Food Pantry,"6955 N. State Road 109 Columbia City, IN 46725",(260) 691-3503,,
Big Stone County Family Services ,"340 2nd St NW P.O. Box 338 Ortonville, MN 56278",(320) 839-2555,http://www.bigstonecounty.org/familyservices/familyservices.vbhtml,
Big Timber Community Food Bank,"115 W. 5th St. Big Timber, MT 59417",(406) 932-5070,,
Billings Food Bank,"P.O. Box 1158 Billings, MT 59103",(406) 259-2856,, 8-5 with 24hr voice mail.  
Billings Forge Community Works,"140 Russ Street Hartford, CT 6106",(860) 548-9877,www.billingsforgeworks.org ,
Biltmore Church of Christ,"823 Fairview Street Asheville, NC 28803",(828) 274-2829,,
"Binding Together, Inc.","50 Broad Street New York, NY 10004",(212) 742-0020,www.bindingtogether.org,
Bingham Area Food Pantry,"St. Peter's Rectory Basement, 27 Owens St. Bingham, ME 04920",(207) 672-4015,,"3rd Tuesday of the month 8-12
Bingham, Caratunk, Concord Township, Moscow, Moxie Gore, Pleasant Ridge, The Forks, West Fork
"
Birmingham-Jefferson Food Policy Council Alabama (formerly Greater Birmingham Community Food Partners,"PO Box 10703 Birmingham, AL 35202",(205) 229-7871,www.gbcfp.org,
Bismarck Emergency Food Pantry,"725 Memorial Highway Bismarck, ND 58501",(701) 258-9188,,
Black Family and Child Services,"1522 East Southern Avenue Phoenix, AZ 85040",(602) 243-1773,http://www.bfcsfamily.org/index.php,Monday-Friday 8 AM-5 PM
"Black Forum of Co-Op City, Inc.","177 Dreiser Loop, Room #20, 2nd Floor Bronx, NY 10475",(718) 320-8035,,"Tuesday, Wednesday, Thursday, Friday 11am-12:45pm"
Black Veterans For Social Justice,"665 Willoughby Avenue Brooklyn, NY 11206",(718) 852-6004,http://www.bvsj.org/,Usually 2nd and 4th Friday 10am-3:30pm
Blackfeet Food Bank,"503 Pomimi St. Browning, MT 59417",(406) 573-0145,,
Blackstone Valley Advocacy Center,"PO Box 5643 Pawtucket, RI 2862",(401) 723-3057,, -24 hours a day 7 days a week.  
Blackstone Valley Community Action Program,"32 Goff Avenue Pawtucket, RI 2860",(401) 723-4520,www.bvcap.org/,
Blackstone Valley Emergency Food Center,"770 Benefit Street Pawtucket, RI 2861",(401) 724-7170,," Monday, Wednesday, Thursday, Friday  "
Blessed Sacrament Church,"198 Euclid Avenue Brooklyn, NY 11208",(718) 827-1200,," Wed: 1 PM - 2 PMTue: 7 PM - 8 PMeach week it alternates- one week it is Wed, the next week it is Tue.  "
Blessed Sacrament Church,"147 West 70th New York, NY 10023",(212) 873-9224,,Soup Kitchen: Sunday 2pm until done - Brown bag lunch.
Blessed Sacrament Food Pantry,"161 High Street Elmira, NY 14901",(607) 733-0300,,
Blessed Sacrament Outreach,"3127 James St. Syracuse, NY 13206",(315) 437-3394,,Thursday 1130am-130pm
Blessed Sarnelli Community ,"2739 Kensington Ave. Philadelphia, PA 19134",(267) 342-3456,,T 5:00 PM-7:00 PM;  TH 5:00 PM-7:00 PM;  F 12:30 PM-1:30 PM;  
Blessed To Give Outreach Ministries,"1213 NE 16 Street Oklahoma City, OK 73117",(405) 409-3713,, -Varies.  
Blessing Basket Food Pantry,"5872 Oliver Road Paradise, CA 95969",(530) 877-7006,,
Blessing Food Pantry,"9288 St Route 97 Callicoon, NY 12723",(845) 887-4071,,
"Blessings, Dressings, & More","Victory Christian Fellowship 100 Wilton rd. New castle, DE 19720",(302) 324-5400,http://www.victoryexperience.com/content.cfm?id=326," wed: 10-2, fri: 6:30-8, sat: 10-5  "
BLK ProjeK,"725 Fox Street Bronx, NY 10455",(917) 680-6443,www.theblkprojek.org,
Bloomer Area Food Pantry. Inc,"1003 17th Avenue Bloomer, WI 54724",(715) 568-3733,,
"Bloomingdale Family Program, Inc.","125 W 109th St New York, NY 10025",(212) 663-4067,,
Bloomington Public Health (061),"1900 W. Old Shakopee Road Bloomington, MN 55431",(952) 563-8993,https://www.bloomingtonmn.gov/cs/public-health/family-health,
Blue Earth County Government Center,"410 South 5th Street P.O. Box 3526 Mankato, MN 56002",(507) 304-4319,http://www.blueearthcountymn.gov/Facilities/Facility/Details/17,"Monday - Friday  8:00 am - 5:00 pm
"
Blue Hen Corporate Center,"655 Bay Road Dover, DE 19901",(302) 672-9500,http://dhss.delaware.gov/dhss/main/maps/other/bluhenml.htm,Mon-Fri 8:00am-4:30pm
Blue Ridge Area Food Bank,"96 Laurel Hill Road Verona, VA 24482",(540) 248-3663,,
Blue Ridge Area Food Bank Lord Fairfax Branch,"1802 Roberts St Winchester, VT 22604",(540) 665-0770,http://www.brafb.org/,
Blue Ridge Community College SIFE,"One College Lane Weyers Cave, VA 24486",(540) 453-2366,,6275
Blue Valley Multi-Service Center Food Pantry,"7500 W. 149th Terrace Overland Park, KS 66223",(913) 897-3991,,
Blumberg Family Tenant Council,"1516 Judson Way Philadelphia, PA 19121",(267) 444-8381 x215,,W 10:00 AM-2:00 PM
Blumberg Seniors Building,"2340 Bolton Way Philadelphia, PA 19121",(215) 207-1239 x267,,T 10:00 AM-3:00 PM
Blythe Emergency Food Pantry,"181 S. Main Blythe, CA 92225",(760) 922-8836,,
Boat People S.O.S./Safe Neighborhood Action Plan,"925 Behrman Hwy Gretna, LA 70056",(504) 433-8668,www.bpsos.org/,
Boat People SOS,"6066 Leesburg Pike Falls Church, VA 22041",(703) 538-2190,www.bpsos.org,
Bobbie's Place,"1243 East 114th Street Brooklyn, NY 11230",(718) 677-4399,www.bobbiesplace.org,
Body & Soul Food Pantry,"8555 Forest Oaks Blvd Spring Hill, FL 34606",(352) 683-9731,,
Body of Christ Ministry,"6081 Lemon Springs Road Sanford, NC 27330",(919) 774-6134,, Thurs 6-7:30pm  
Bois Forte Band of Chippewa ,"5344 Lakeshore Drive Nett Lake, MN 55772",(218) 757-3261,http://www.boisforte.com/divisions/human_services.htm,"Monday thru Friday, 8:00 am to 4:00 pm, with the last day of every month closed"
Bois Forte Health Services WIC Program (801),"13071 Nett lake Road Suite A Nett Lake, MN 55771  ",(218) 757-3295,http://www.boisforte.com/divisions/health.htm,
Boise Rescue Mission Ministries,"P.O. Box 1494 Boise, ID 83701",(208) 343-2389,,
Boise Urban Garden School - BUGS,"1725 S. Atlantic Boise, ID 83705",(208) 433-0323,,
BOLD Justice,"400 N 35th Ave Hollywood, FL 33021",(954) 987-6595,," Bold Justice's ability to address root causes of injustice through the empowerment of low to moderate income people is directly tied to the number of people the organization can engage once a year in a large community meeting called a   Nehemiah Action. During the House meetings, groups of people come together to identify a list of community problems that are impacting them most significantly and build relationships around those common community problems. Bold Justice engages in an intensive listening process once per year which consists of house meetings. The organization provides training to the hosts of house meetings which helps teach them the skills to guide those   conversations.  "
Bond County Food Pantry,"305 S. Third St. Greenville, IL 62246",(618) 664-1465,,
Boniface Center,"3300 State Route 66 Neptune, NJ 7753",(732) 918-2600,,
Bonner Community Food Center,"921 N 5th Avenue Sandpoint, ID 83864",(208) 263-3663,, 9-3 pst  
Bonsack Baptist Church,"4845 Cloverdale Road Roanoke, VA 24019",(540) 977-6287,,
BOOM! Health,"540 E. Fordham Rd. Bronx, NY 10458",(718) 295-5605,,"Food Pantry: Monday, Tuesday, Wednesday, Thursday, Friday 9am - 4pm"
Boomtown Cafe,"513 Third Avenue Seattle, WA 98104",(206) 625-2989,,
Boot Heel Food Bank,"P.O. Box 809 Sikeston, MO 63801",(573) 471-1818,,
Borderland Food Bank,"180 E Produce Terminal Drive Nogales, AZ 85621",(520) 287-2627,http://www.borderlandfoodbank.org/,"Tuesday-Friday 9:00 AM-1:00 PM
Call for schedule for Produce on Wheels program"
Borough of Fair Lawn Food Pantry,"8-01 Fair Lawn Avenue, Room 112 Fair Lawn, NJ 7410",(201) 794-5333,,
Borough of Leetsdale Fire Dept. ,"136 Broad St. Leetsdale, PA 15056",(724) 266-4820,www.leetsdaleboro.net,
BOS Community Development Corporation,"719 Indiana Avenue #360 Indianapolis, IN 46202",(317) 635-2913,,
Boston Living Center,"29 Stanhope Street Boston, MA 2116",(617) 236-1012,," Membership Hours: M -12:00 to 9:00pm;Tues - Thurs 12:00pm to 6:00pm;Fri 12:00pm - 5pm;Sat 12pm - 3pmGroup Intake/Orientation: TH 10:30, office hours M-Sat 9am to 6pm  "
Boston Rescue Mission,"P.O Box 120069 Boston, 2112",(617) 338-9000,www.brm.org,
Bottomless Closet,"445 N Wells Street Chicago, IL 60610",(312) 527-9664,www.bottomlesscloset.org,
Boulder Shelter for the Homeless,"4869 N Broadway Boulder, CO 80304",(303) 442-4646,www.bouldershelter.org,
Bountiful Cities Project,"PO Box 898 Asheville, NC 28802",(828) 257-4000,www.bountifulcitiesproject.org,
Bountiful Community Food Pantry,"480 East 150 North Bountiful, UT 84010",(801) 299-8464,www.bountifulfoodpantry.org,"M - F 11 am - 1 pm, also T, W Th 6 - 8 pm, Sat 10 - noon"
Bountiful Community Food Pantry,"480 East 150 North Bountiful, UT 84010",(801) 299-8464,,
Boyne City Food Pantry,"401 State Street Boyne City, MI 49730",(231) 675-9167,,
Boys & Girls Clubs of Cleveland,"6114 Broadway Avenue Cleveland, OH 44127",(216) 883-2106,www.clevekids.org,
Boys & Girls Clubs of Greater Milwaukee,"1558 North 6th Street Milwaukee, WI 53212",(414) 267-8100,www.boysgirlsclubs.org,
Boys & Girls Town of Missouri,"4485 Westminster Place St. Louis, MO 63108",(314) 535-7911,,
Boys and Girls Club of Hendersonville,"P.O. Box 1460 Hendersonville, NC 28793",(828) 693-9444,,
Boys and Girls Club of Metro Phoenix,"4309 E. Belleview St. Bldg 14 Phoenix, AZ 85008",(602) 954-8182,www.bgcmp.org,"Does not distribute food
Monday-Friday 8:30 AM-5:00 PM"
Boys and Girls Clubs of Northeastern PA,"609 Ash St. Scranton, PA 18510",(570) 342-8709,www.bgcnepa.org,
Boys and Girls Clubs of the Northtowns of Western New York - Franklin Unit,"54 Riversale Avenue Buffalo, NY 14207",(716) 873-9842,,
"Boys Town of Missouri, Inc.","P.O. Box 189 St. James, MO 65559",(573) 265-3251,,
"Boys, Girls, Adults Community Development Center - BGACDC","P.o. Box 1356 Marvell, AR 72366",(870) 892-3644,,
Bradford Jonnycake Center Inc.,"P.o. Box 273 Bradford, RI 2813",(401) 377-8069,,
Bradley Food Pantry,"605 4th Avenue Bradley Beach, NJ 7720",(732) 775-0161,http://www.saintjamesbb.org/,
Brandon Area Food Pantry,"406 Main Ave Brandon, SD 57005",(605) 582-7001,,
Branford Food Pantry,"30 Harrison Ave Branford, CT 6405",(203) 481-3663,,
